timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
0,29.140991,13.051275,13.01103,0.658947
1,19.790573,4.7308803,13.02294,0.65478384
2,17.194788,3.4834118,13.037251,0.65038323
3,16.384401,2.5016463,13.054111,0.64636797
4,15.726374,2.25156,13.073656,0.64320624
5,15.015399,2.511765,13.095919,0.6411794
6,14.960825,2.714868,13.120865,0.6403612
7,14.849278,1.9838753,13.148485,0.6406385
8,13.84866,1.3419774,13.178896,0.6418098
9,13.984673,1.481666,13.212438,0.64375997
10,13.818289,1.7025007,13.249651,0.6466385
11,13.76786,1.7446407,13.291257,0.6508947
12,13.935242,1.9008148,13.338117,0.6571403
13,13.990911,1.8671442,13.391202,0.66591585
14,14.281512,1.8895295,13.451503,0.67751855
15,13.744275,1.7042159,13.51989,0.69200546
16,13.367941,1.4664414,13.59699,0.7093437
17,13.369428,1.4644079,13.683131,0.7295524
18,13.686235,1.6046307,13.778417,0.7526532
19,13.548796,1.2288119,13.882822,0.7785062
20,13.507166,1.249194,13.99618,0.8066561
21,13.586644,1.2923824,14.11805,0.83640033
22,14.018026,1.1757272,14.247583,0.8670667
23,13.930422,1.3362973,14.383448,0.8982612
24,13.588678,1.327859,14.523901,0.92986506
25,13.575343,1.2107594,14.666954,0.96178484
26,13.661957,1.3092002,14.810518,0.9936678
27,13.906077,1.2214663,14.9524975,1.0248957
28,14.540611,0.9295762,15.090899,1.0548776
29,14.037618,1.1802438,15.223909,1.0834479
30,14.017392,1.3050641,15.350008,1.1110938
31,13.995817,1.2461482,15.467978,1.13882
32,14.179222,1.0786725,15.576818,1.1677133
33,14.377907,0.92355216,15.675676,1.1984674
34,14.024267,1.0382383,15.763817,1.2311428
35,14.450163,1.3475684,15.840777,1.2652345
36,14.727435,1.2820919,15.906548,1.2999619
37,14.512202,1.308027,15.961766,1.3346314
38,14.439883,1.4981527,16.007769,1.3689265
39,14.520905,1.3062779,16.046595,1.4029641
40,14.389709,1.3795553,16.080906,1.4371492
41,14.184076,1.2269722,16.11383,1.4719695
42,14.606031,1.4504911,16.148735,1.5078729
43,14.19887,1.3934047,16.188961,1.5451885
44,14.282634,1.599106,16.237556,1.5840682
45,14.324791,1.5264935,16.296944,1.6244385
46,14.858249,1.3358098,16.368519,1.6660563
47,14.345543,1.3369023,16.452404,1.7086798
48,14.359955,1.2602375,16.547564,1.7523038
49,14.557159,1.087951,16.652142,1.7972995
50,14.71418,1.2338549,16.763878,1.8443475
51,14.817615,1.6755286,16.880512,1.8942084
52,14.801445,1.4841689,17.000088,1.9474163
53,14.941426,1.4012269,17.121187,2.0040612
54,14.9214525,1.8008232,17.243053,2.0637062
55,15.351947,1.8597027,17.365494,2.125492
56,15.350675,1.6882809,17.488743,2.1884246
57,15.390198,1.6025118,17.61324,2.2516763
58,15.492452,1.8817397,17.739485,2.3147402
59,15.373663,1.8069395,17.868065,2.377375
60,15.413968,1.891733,17.999668,2.4394107
61,15.543942,2.072685,18.135082,2.5005944
62,15.921521,1.9641968,18.275118,2.5606205
63,16.092352,2.2254405,18.420547,2.6192317
64,16.20602,2.1171505,18.57206,2.6762867
65,16.130236,1.9587022,18.730206,2.7317522
66,16.297798,1.602348,18.89533,2.7856498
67,16.121357,1.6713066,19.067486,2.8380718
68,16.19323,2.247798,19.246403,2.8892028
69,16.40602,2.0488534,19.431597,2.9393065
70,16.417011,2.0418155,19.622456,2.9886231
71,16.579514,2.1745155,19.818314,3.0372252
72,16.747204,2.5706146,20.01846,3.0849686
73,16.889416,2.373084,20.222162,3.1316373
74,17.129818,2.385667,20.4287,3.1771774
75,17.277424,2.19157,20.637318,3.2217968
76,17.200367,2.463699,20.847118,3.2658029
77,17.631802,2.5748072,21.056948,3.3093514
