timestep,rmse_model_mean,rmse_model_sd,rmse_base_mean,rmse_base_sd
0,22.953058,3.5380611,150.61832,2.0408263
1,17.64375,1.8567649,150.87227,2.0440068
2,16.828604,1.583434,151.13345,2.0472255
3,16.73138,1.677087,151.4019,2.0505683
4,16.79,1.6787596,151.67775,2.0541284
5,16.239616,1.7178091,151.96117,2.0579133
6,16.14596,1.7370564,152.25246,2.0618906
7,16.1954,1.6798475,152.55183,2.0659804
8,15.993437,1.8424199,152.85947,2.0701244
9,15.8259735,1.798193,153.17563,2.0743232
10,16.023167,1.8275528,153.50035,2.0786614
11,15.992681,1.9389255,153.83395,2.0832543
12,16.126791,1.9355447,154.1766,2.0882285
13,15.845877,1.9248059,154.52853,2.0936413
14,15.636208,1.9111487,154.88983,2.0994782
15,15.498245,1.9129245,155.26044,2.1056244
16,15.714495,1.8108968,155.6402,2.1119072
17,15.603071,1.8439087,156.02899,2.1181843
18,15.478888,1.8611689,156.4266,2.1243234
19,15.672815,1.8722347,156.83286,2.130275
20,15.774098,1.8056566,157.2475,2.1360493
21,15.447103,1.8843971,157.67014,2.1416626
22,15.596024,1.8874903,158.1005,2.1471553
23,15.83806,1.8465031,158.53818,2.152534
24,15.615069,1.9018453,158.98291,2.1577888
25,15.542928,2.0116947,159.43448,2.1628935
26,15.591708,1.8410033,159.8927,2.1678212
27,15.58412,1.8620001,160.35728,2.1725194
28,15.585002,1.8256613,160.82797,2.1769378
29,15.37545,1.9079169,161.30429,2.1810544
30,15.446584,1.8608828,161.7858,2.1848595
31,15.561996,1.8850191,162.27197,2.1884086
32,15.7448,1.9927071,162.76225,2.1917715
33,15.421762,1.853074,163.25613,2.19499
34,15.032336,1.825878,163.75316,2.1980565
35,15.152087,1.8116316,164.25285,2.2009017
36,15.241455,1.8535336,164.75479,2.203475
37,15.055887,1.765678,165.25851,2.2057471
38,15.154694,1.7247308,165.76347,2.2077892
39,15.320915,1.8914309,166.2691,2.2097223
40,15.270793,1.9398372,166.77475,2.211713
41,15.216146,1.9222509,167.27977,2.2138972
42,15.230738,1.8964959,167.78357,2.216433
43,15.250063,1.9251889,168.28561,2.2194479
44,15.321759,2.030832,168.78546,2.2230577
45,15.15613,1.8538191,169.28275,2.2273161
46,15.356275,1.7643484,169.77718,2.2321806
47,15.432269,1.8413686,170.2686,2.2374895
48,15.620321,1.8742919,170.75699,2.24298
49,15.417226,1.7759612,171.24234,2.2483454
50,15.278317,1.8204495,171.72473,2.2533424
51,15.582878,1.8702555,172.20421,2.2578356
52,15.489535,2.0140681,172.68094,2.261857
53,15.300558,1.9563491,173.15488,2.2655857
54,15.545764,1.8990293,173.62616,2.269295
55,15.883173,1.9539858,174.09476,2.2732582
56,15.993904,1.8951741,174.56088,2.2776847
57,15.941641,1.8501222,175.02472,2.282654
58,15.890698,1.8705165,175.48648,2.2881484
59,16.000706,1.8071672,175.9463,2.2941334
60,16.047804,1.9945078,176.40431,2.3006015
61,16.176834,2.0139365,176.86044,2.3076205
62,16.23583,1.8464514,177.31458,2.3153489
63,16.317083,1.902454,177.76639,2.3239725
64,16.326984,2.0053256,178.2158,2.333645
65,16.343287,2.1066206,178.66272,2.3444378
66,16.625443,2.048772,179.10727,2.356282
67,16.520384,1.9848721,179.54977,2.3690467
68,16.342535,2.107944,179.99077,2.3825269
69,16.498718,2.1037135,180.43088,2.3964877
70,16.516308,2.148026,180.8708,2.4106731
71,16.5609,2.1694033,181.31104,2.4248753
72,16.637402,2.052814,181.75212,2.4390001
73,16.438517,2.091892,182.19447,2.4531107
74,16.777157,2.0314124,182.6385,2.4673855
75,16.792198,2.1865883,183.08473,2.4820073
76,16.944569,2.2645676,183.53366,2.4970007
77,17.143549,2.303423,183.98601,2.5121694
78,17.020817,2.356611,184.44255,2.5271335
79,17.06973,2.3731797,184.9042,2.5414402
80,17.396103,2.375396,185.37192,2.5546107
81,17.351215,2.5301304,185.84659,2.5663137
82,17.540462,2.3503456,186.32913,2.5763834
83,17.432446,2.412674,186.82034,2.5848892
84,17.52795,2.558515,187.32085,2.5920851
85,17.575182,2.514469,187.83131,2.5983562
86,17.814709,2.4464445,188.35208,2.6041162
87,17.892859,2.4879322,188.8836,2.6097105
88,17.930988,2.5547378,189.426,2.6153927
89,18.018705,2.347922,189.97946,2.6212616
90,17.9029,2.3645563,190.54414,2.6273334
91,17.73106,2.4260578,191.12012,2.633556
92,18.024578,2.416408,191.70746,2.6398847
93,18.215385,2.2890947,192.3062,2.646316
94,18.118298,2.361379,192.91635,2.6528897
95,18.245575,2.623932,193.53787,2.6596818
96,18.215494,2.6371207,194.17065,2.6667628
97,18.097599,2.7298377,194.81458,2.6741788
98,18.220018,2.8038507,195.46942,2.681939
99,18.093328,2.7098317,196.1351,2.6900575
100,18.308052,2.5293667,196.81143,2.6985226
101,18.429935,2.5532324,197.49823,2.7073157
102,18.4932,2.6840508,198.19534,2.7164707
103,18.553415,2.7913446,198.90256,2.7260363
104,18.585764,2.8638637,199.61969,2.7360873
105,18.383211,2.8342693,200.34653,2.7467332
106,18.508581,2.835774,201.08289,2.758038
107,18.673313,2.8709292,201.82852,2.7700262
108,18.713844,2.8116953,202.58316,2.7827044
109,18.713512,2.7537253,203.34644,2.7960787
110,18.689629,2.566397,204.11807,2.8101456
111,18.82261,2.6109414,204.89767,2.8248837
112,18.967709,2.6499934,205.68486,2.8402607
113,18.86713,2.5411792,206.47922,2.8561678
114,18.876204,2.6350265,207.28036,2.8724937
115,18.89266,2.6140842,208.0878,2.8891318
116,18.779436,2.503281,208.90105,2.9060054
117,18.881878,2.338218,209.71964,2.9230847
118,19.037775,2.469898,210.54305,2.9404545
119,18.954063,2.5751352,211.37077,2.958221
120,19.050201,2.6492162,212.20232,2.9764807
121,18.950039,2.5063968,213.03711,2.9953096
122,18.87347,2.4921598,213.87463,3.0147061
123,18.73972,2.5840743,214.71436,3.0345335
124,18.839075,2.173697,215.55562,3.054591
125,18.8306,2.1646092,216.39803,3.0746672
126,18.770884,2.373925,217.24112,3.0946295
127,19.15662,2.1777985,218.08444,3.114438
128,19.20403,2.384832,218.92764,3.1341703
129,19.043125,2.2483983,219.77026,3.1538937
130,18.8569,2.5115275,220.61182,3.1736794
131,18.73862,2.6551232,221.45181,3.1935482
132,18.77592,2.4069567,222.28964,3.2135205
133,18.754665,2.3225129,223.12456,3.2335787
134,18.840294,2.429262,223.95593,3.253711
135,18.82845,2.5571427,224.78313,3.2738607
136,18.850338,2.487546,225.6058,3.2938888
137,18.578415,2.5333743,226.42366,3.3135931
138,18.76143,2.5233874,227.23645,3.3327737
139,18.811985,2.358639,228.04382,3.3512576
140,18.820917,2.3161108,228.84541,3.369
141,18.735954,2.3713164,229.64062,3.3860767
142,18.751772,2.178741,230.42891,3.4026022
143,18.70606,2.0545228,231.20975,3.4186668
144,18.446325,2.21233,231.98257,3.4343255
145,18.590235,2.2647185,232.7469,3.4495692
146,18.831228,2.219694,233.50224,3.4643888
147,18.700909,2.177801,234.24814,3.4788027
148,18.671833,2.2661462,234.98418,3.4928615
149,18.784674,2.2435741,235.70988,3.5066202
150,18.638393,2.2028286,236.42464,3.5200927
151,18.471632,2.1008267,237.12778,3.5332913
152,18.194447,2.0279267,237.81876,3.5461762
153,18.173038,2.0780346,238.49686,3.5587142
154,18.235182,2.0794878,239.16167,3.570838
155,18.198338,2.0557542,239.81287,3.5824437
156,18.038393,1.9951699,240.45012,3.5934224
157,18.144934,1.7970998,241.07297,3.6036932
158,18.20289,1.819573,241.681,3.6132145
159,18.290012,1.9442832,242.27364,3.6220214
160,18.286015,1.9896915,242.8503,3.6302223
161,18.120789,1.9908271,243.41049,3.637986
162,18.026936,2.0071762,243.9539,3.6454828
163,18.086273,2.0640435,244.4802,3.652887
164,18.173431,1.9550819,244.98904,3.66033
165,18.243387,1.8553468,245.48015,3.667866
166,18.115578,1.8697926,245.95305,3.6755555
167,18.231644,1.899346,246.40735,3.683434
168,18.08215,1.9348714,246.8426,3.691563
169,18.073017,1.8525764,247.25847,3.699942
170,17.981684,1.7596706,247.65457,3.7085168
171,17.946676,1.8022184,248.03055,3.7171948
172,17.915895,1.6666481,248.38615,3.7259438
173,17.718489,1.6486192,248.72127,3.7348762
174,17.661177,1.6313806,249.03543,3.7443235
175,17.690777,1.517642,249.32852,3.7547626
176,17.874912,1.5074527,249.60025,3.7667315
177,17.752377,1.4894577,249.85037,3.780623
178,17.780056,1.4941185,250.07883,3.796686
179,17.75703,1.5627187,250.28568,3.814999
180,17.607523,1.7162323,250.47087,3.835541
181,17.453388,1.7183483,250.63452,3.8582826
182,17.469818,1.5755805,250.77654,3.8831627
183,17.494244,1.6652418,250.8968,3.9101596
184,17.433292,1.8464673,250.99503,3.9392648
185,17.455801,1.7893233,251.07112,3.9705384
186,17.478167,1.6943455,251.12497,4.0040627
187,17.569786,1.7136946,251.1567,4.0399904
188,17.605433,1.5599964,251.16647,4.0784655
189,17.445232,1.4957331,251.15471,4.1196103
190,17.445133,1.5103312,251.12167,4.1634693
191,17.68375,1.6823201,251.0677,4.2100205
192,17.554935,1.5612586,250.99312,4.2591925
193,17.472795,1.5328215,250.8981,4.3109484
194,17.410223,1.5477538,250.78291,4.365267
195,17.638742,1.5904967,250.6477,4.4221797
196,17.663311,1.5650772,250.49268,4.4816995
197,17.577848,1.6384553,250.31808,4.5438395
198,17.577759,1.6878803,250.12431,4.608469
199,17.804052,1.6210614,249.9117,4.6753926
200,17.646736,1.5344527,249.68063,4.7443433
201,17.746233,1.678577,249.43181,4.815
202,17.682814,1.4584064,249.16568,4.8870573
203,17.89241,1.44013,248.88289,4.9602537
204,18.05511,1.4884369,248.58377,5.034411
205,18.127468,1.532192,248.26875,5.1094074
206,18.24854,1.5294964,247.93814,5.1852326
207,18.484104,1.6397883,247.59232,5.2619443
208,18.517971,1.6316444,247.23164,5.3395576
209,18.802727,1.5070035,246.85666,5.4180818
210,18.875439,1.3955799,246.46797,5.497377
211,18.874165,1.6032252,246.06624,5.577241
212,19.308107,1.7732412,245.65213,5.657384
213,19.389383,1.774171,245.2262,5.737533
214,19.70406,1.776207,244.78915,5.8174133
215,19.891626,1.6924058,244.34152,5.896804
216,19.877453,1.8667892,243.88383,5.9754643
217,20.268194,2.0624998,243.41646,6.0531583
218,20.446136,2.309976,242.93977,6.129612
219,20.66956,2.1018934,242.4541,6.2045593
220,20.83526,1.9594647,241.95976,6.277819
221,21.150526,2.1363919,241.45715,6.3492346
222,21.691986,2.203381,240.94678,6.418739
223,21.839258,2.224339,240.42923,6.4862614
224,22.169575,2.0994782,239.90512,6.551705
225,22.337431,2.1793215,239.37524,6.6149106
226,22.588694,2.0951054,238.84009,6.6756988
227,23.052902,2.2648892,238.30017,6.733875
228,23.39147,2.1464517,237.75589,6.789284
229,23.388834,2.2428293,237.20764,6.841801
230,23.707275,2.4469686,236.65585,6.8913493
231,23.858284,2.646832,236.1009,6.937838
232,23.9183,2.8851085,235.54326,6.9811616
233,24.319775,2.9916344,234.98337,7.021185
234,24.370028,2.8847752,234.42159,7.057788
235,24.615578,2.973058,233.8582,7.090901
236,25.015278,3.0248876,233.2935,7.1204953
237,25.012106,3.1353447,232.72775,7.146629
238,25.244678,3.2586536,232.16118,7.169371
239,25.742619,3.2436109,231.59395,7.188807
240,26.138056,2.8493257,231.02628,7.2050023
241,26.19605,2.8014436,230.4583,7.2179904
242,26.521145,3.1252642,229.89018,7.2277503
243,26.964874,3.2662716,229.32195,7.2342606
244,27.142893,3.2177212,228.75366,7.2375073
245,27.236795,3.2779987,228.18527,7.2375417
246,27.40362,3.3660614,227.61679,7.2344685
247,27.79719,3.3168712,227.04813,7.228412
248,27.858204,3.2826138,226.4792,7.2194996
249,27.996668,3.441663,225.90987,7.2078924
250,28.529408,3.615145,225.34018,7.193786
251,28.916864,3.7898338,224.77007,7.1773677
252,29.129318,3.720616,224.19951,7.158841
253,29.229212,3.825549,223.62854,7.1383743
254,29.701523,3.7352462,223.05733,7.1160793
255,30.122494,3.5991175,222.48604,7.092037
256,30.465464,3.538611,221.91484,7.0663195
257,30.709995,3.156161,221.34396,7.039062
258,30.888165,3.1938062,220.77348,7.010482
259,31.15453,3.5432813,220.20341,6.9809017
260,31.29984,3.705526,219.63382,6.950653
261,31.407404,3.8832462,219.06473,6.9200144
262,31.488575,3.9266295,218.49614,6.889116
263,31.777863,3.925951,217.92802,6.8579035
264,32.201996,3.8685365,217.36014,6.8262134
265,33.064114,3.8010185,216.79224,6.7938704
266,33.03327,3.6175246,216.22424,6.7607765
267,33.30039,3.903035,215.6561,6.727043
268,33.582466,4.181273,215.08806,6.6929493
269,33.58912,4.043997,214.52023,6.6588807
270,34.159035,4.1965,213.95285,6.6252494
271,34.597725,4.235965,213.38594,6.592377
272,34.794716,4.0879083,212.8195,6.5603504
273,35.230907,4.306239,212.25357,6.5291057
274,35.489204,4.489752,211.68803,6.4985113
275,35.805225,4.5703206,211.12317,6.4685183
276,36.31031,4.7381086,210.55908,6.43927
277,36.469967,4.5737157,209.99602,6.411047
278,36.80217,4.773014,209.43428,6.3842044
279,37.254925,4.6975565,208.87405,6.359091
280,37.89528,4.997554,208.3157,6.3358746
281,38.083855,4.872095,207.75967,6.31454
282,38.28429,4.951466,207.20639,6.2948217
283,38.55334,4.915473,206.65633,6.2762465
284,38.958324,4.792088,206.10991,6.2583275
285,39.16459,4.954096,205.56772,6.24065
286,39.68381,5.107597,205.03035,6.223011
287,40.027214,5.2472982,204.4985,6.205394
288,40.471684,5.245614,203.97275,6.187819
289,40.72558,5.328869,203.45374,6.1702247
290,41.130005,5.4378657,202.94193,6.1523237
291,41.36931,5.3913054,202.43768,6.1336823
292,41.782047,5.4308305,201.94144,6.1138015
